size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy,public_code_id
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,7,20316980,3.0,68,3,3,4,100,19200,0.0035416666666666665,0.03,0.03,0.04,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,8,20325002,2.0,268,11,11,18,100,19200,0.013958333333333333,0.11,0.11,0.18,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,8,20325002,2.5,240,11,11,22,100,19200,0.0125,0.11,0.11,0.22,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,8,20325002,3.0,44,3,3,6,100,19200,0.0022916666666666667,0.03,0.03,0.06,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,9,20333024,2.0,109,5,5,7,100,19200,0.0056770833333333335,0.05,0.05,0.07,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,9,20333024,2.5,120,5,4,10,100,19200,0.00625,0.05,0.04,0.1,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,9,20333024,3.0,9,1,1,1,100,19200,0.00046875,0.01,0.01,0.01,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,matched_lambda0_ablation,pSA,0.0,0,20260826,2.0,5874,100,100,2122,100,19200,0.3059375,1.0,1.0,21.22,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,matched_lambda0_ablation,pSA,0.0,0,20260826,2.5,5387,100,100,2057,100,19200,0.28057291666666667,1.0,1.0,20.57,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,matched_lambda0_ablation,pSA,0.0,0,20260826,3.0,4775,100,100,1981,100,19200,0.24869791666666666,1.0,1.0,19.81,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,matched_lambda0_ablation,pSA,0.0,1,20268848,2.0,5817,100,100,2169,100,19200,0.30296875,1.0,1.0,21.69,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,matched_lambda0_ablation,pSA,0.0,1,20268848,2.5,5317,100,100,2055,100,19200,0.2769270833333333,1.0,1.0,20.55,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,matched_lambda0_ablation,pSA,0.0,1,20268848,3.0,5094,100,100,2014,100,19200,0.2653125,1.0,1.0,20.14,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,matched_lambda0_ablation,pSA,0.0,2,20276870,2.0,5797,100,100,2137,100,19200,0.30192708333333335,1.0,1.0,21.37,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,matched_lambda0_ablation,pSA,0.0,2,20276870,2.5,5488,100,100,2080,100,19200,0.28583333333333333,1.0,1.0,20.8,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,matched_lambda0_ablation,pSA,0.0,2,20276870,3.0,4966,100,100,1962,100,19200,0.25864583333333335,1.0,1.0,19.62,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,matched_lambda0_ablation,pSA,0.0,3,20284892,2.0,5733,100,100,2185,100,19200,0.29859375,1.0,1.0,21.85,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
