size,code_id,variant,realization_type,generation_seed,matrix_sha256,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta,reached_valid,reached_valid_after_nonvalid,reached_correct,reached_low_BER,reached_relaxed_basin,reached_wrong_valid,first_valid_cycle,first_valid_after_nonvalid_cycle,first_correct_cycle,first_low_BER_cycle,first_relaxed_basin_cycle,first_wrong_valid_cycle,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_remaining_cycles_after_hit,relaxed_basin_cycles_after_hit,relaxed_basin_escape_probability,relaxed_basin_transition_opportunities,relaxed_basin_escape_count,relaxed_basin_return_probability,relaxed_basin_return_count,relaxed_basin_mean_return_time,relaxed_basin_first_residence_time,relaxed_basin_first_residence_censored,mean_channel_alignment,late_channel_alignment,mean_channel_alignment_gap_to_transmitted,late_channel_alignment_gap_to_transmitted,mean_hard_channel_disagreement_rate,late_hard_channel_disagreement_rate,wrong_valid_residence_fraction
N96_M48,existing_00,pSA,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20260826,2.5,0,25600,0.0,0,0,0.0,0,6.0401171875,0.6078515625,0.0285400390625,0.016141312132767302,0.1225114587224179,0.810596414848333,0.981215825670121,0.9812864997293679,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999966777464,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,10040.0,10040.0,10040.0,6664.0,8585.0,nan,1.0,15561.0,15561.0,0.0,15560.0,0.0,nan,0.0,nan,15561.0,1.0,0.9169017395392571,17016.0,15602.0,0.0003204922761361451,15601.0,5.0,1.0,5.0,282.8,1.0,0.0,0.6101064830453382,0.7405332970447639,0.13042681399942335,0.0,0.16544881184895832,0.09375,0.0
N96_M48,existing_00,pSA,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20260826,2.5,1,25600,0.0,0,0,0.0,0,4.8491015625,0.72328125,0.024501139322916667,0.013462485854926244,0.1352666765444072,0.8341575903096354,0.9866558052143299,0.9849397296175415,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999970537156,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,7036.0,7036.0,7036.0,6005.0,7014.0,nan,0.9973606248316725,18565.0,18516.0,0.00021604104779908182,18515.0,4.0,1.0,4.0,12.25,155.0,0.0,0.9970947436380265,18587.0,18533.0,0.000377725016188215,18532.0,7.0,1.0,7.0,7.714285714285714,1.0,0.0,0.6520559998137844,0.7707600535843684,0.11870405377058331,0.0,0.14697224934895833,0.08333333333333333,0.0
N96_M48,existing_00,pSA,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20260826,2.5,2,25600,0.0,0,0,0.0,0,4.9168359375,0.711953125,0.024776204427083334,0.013650286173707013,0.1332042027204876,0.8325995748586948,0.9865068289916071,0.9847623768299248,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999967526044,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,7355.0,7355.0,7355.0,7325.0,7333.0,nan,0.9989038693412254,18246.0,18226.0,0.00010973936899862826,18225.0,2.0,1.0,2.0,10.0,8.0,0.0,0.9987957083424568,18268.0,18246.0,0.0002740476842970677,18245.0,5.0,1.0,5.0,4.4,10.0,0.0,0.6351420572547469,0.7479629039424406,0.11282084668769404,0.0,0.15401814778645834,0.09375,0.0
N96_M48,existing_00,pSA,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20260826,2.5,3,25600,0.10416666666666667,1,18,0.10416666666666667,10,13.7596484375,0.0,0.05634928385416667,0.03850241860263335,0.10499180639752843,0.6622469716908215,0.9336464661086705,0.9557231162545952,nan,12.50125,0.26044270833333333,0.0,0.23005208333333332,0.04306640625,0.027953120441736673,0.09364167574527087,0.7722502227775834,0.9399700312192045,0.9625472005208333,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.47366978355196815,0.5529123316483402,0.19594631109527894,0.1167037629989067,0.231903076171875,0.1871875,0.0
N96_M48,existing_00,pSA,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20260826,2.5,4,25600,0.0,0,0,0.0,0,5.1925,0.678203125,0.0256396484375,0.014185752069243628,0.13236491876233258,0.8267550484326354,0.9849129794221142,0.9831672454341936,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999969350476,0.9999999999999997,1.0,nan,0.0,0.0,1,1,1,1,1,0,5227.0,5227.0,5227.0,5184.0,5195.0,nan,0.852164523412192,20374.0,17362.0,0.00011520073728471862,17361.0,2.0,1.0,2.0,1506.0,14.0,0.0,0.8563167695775752,20406.0,17474.0,0.0015452412293252447,17473.0,27.0,1.0,27.0,108.5925925925926,5.0,0.0,0.6365754563860041,0.764263737475385,0.12768828108938324,0.0,0.15189860026041666,0.08333333333333333,0.0
N96_M48,existing_00,pSA,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20268848,2.5,0,25600,0.0,0,0,0.0,0,4.42484375,0.7634375,0.02329345703125,0.012668651057308139,0.14323932393239325,0.8411295809685341,0.9880213281964312,0.9850206531691932,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999973761869,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,5904.0,5904.0,5904.0,5891.0,5904.0,nan,0.9922323196425852,19697.0,19544.0,0.0005116921659929387,19543.0,10.0,1.0,10.0,15.3,132.0,0.0,0.9928923186272021,19697.0,19557.0,0.0007158928206177132,19556.0,14.0,1.0,14.0,10.0,132.0,0.0,0.6737699619516999,0.7951623391522274,0.12139237720052923,0.0,0.10443440755208333,0.03125,0.0
N96_M48,existing_00,pSA,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20268848,2.5,1,25600,0.0,0,0,0.0,0,4.4286328125,0.7580859375,0.023173828125,0.012576948390487418,0.14598861721147294,0.8425054605771027,0.9883846530846382,0.9854004172123282,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.999999997432217,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,4989.0,4989.0,4989.0,4982.0,4984.0,nan,0.9415389093731806,20612.0,19407.0,0.0007214263629805215,19406.0,14.0,1.0,14.0,86.07142857142857,3.0,0.0,0.9423291458505118,20617.0,19428.0,0.0012868687908580841,19427.0,25.0,1.0,25.0,47.56,1.0,0.0,0.684626741956784,0.8045298182744167,0.11990307631763511,0.0,0.11899454752604166,0.052083333333333336,0.0
N96_M48,existing_00,pSA,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20268848,2.5,2,25600,0.020833333333333332,1,0,0.020833333333333332,0,4.2610546875,0.7757421875,0.02239420572916667,0.012339147988561835,0.12028603754133523,0.8459622474334154,0.9895049326339933,0.9871776871897737,nan,0.0,0.0,1.0,0.020833333333333332,0.0,0.0,0.0,0.9999999977667055,1.0,1.0,nan,0.0,0.0,1,1,0,1,1,1,5608.0,5608.0,nan,5607.0,5608.0,5608.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9948481968689041,19993.0,19890.0,0.0014078133641711498,19889.0,28.0,1.0,28.0,3.6785714285714284,11.0,0.0,0.7094181106569607,0.8262335275913028,0.11841045288023883,0.0015950359459003434,0.12404988606770834,0.0625,0.7757421875
N96_M48,existing_00,pSA,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20268848,2.5,3,25600,0.0,0,0,0.0,0,4.35234375,0.76859375,0.0228125,0.012395044637562115,0.14165337156936003,0.8433998791970576,0.9888910599391534,0.9864354895225135,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999973669105,0.999999999999999,1.0,nan,0.0,0.0,1,1,1,1,1,0,5868.0,5868.0,5868.0,4880.0,5868.0,nan,0.9971114376932043,19733.0,19676.0,0.0005082592121982211,19675.0,10.0,1.0,10.0,5.7,42.0,0.0,0.9971621142249024,19733.0,19677.0,0.0005590567188452938,19676.0,11.0,1.0,11.0,5.090909090909091,42.0,0.0,0.6811133130684157,0.796218876376528,0.1151055633081126,0.0,0.15032958984375,0.09375,0.0
N96_M48,existing_00,pSA,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20268848,2.5,4,25600,0.0,0,0,0.0,0,4.5153125,0.7512890624999999,0.02365234375,0.012921484286713424,0.13853430373235276,0.8394716464863785,0.9876638095426928,0.9847673572972416,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999966853985,0.9999999999999997,1.0,nan,0.0,0.0,1,1,1,1,1,1,5660.0,5660.0,5660.0,5655.0,5657.0,6578.0,0.9361115290105813,19941.0,18667.0,0.0007500267866709525,18666.0,14.0,1.0,14.0,91.0,20.0,0.0,0.9663557962294425,19944.0,19273.0,0.001556662515566625,19272.0,30.0,1.0,30.0,22.366666666666667,1.0,0.0,0.6270232537524901,0.7376420522364281,0.1106187984839395,0.0,0.16185791015625,0.10416666666666667,0.022109375
